City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,The Valley,AI,18.217,-63.0578,82.26,79,7,18.77,clear sky
80,Castro,BR,-24.7911,-50.0119,55.4,71,100,3.51,overcast clouds
81,Mayo,US,38.8876,-76.5119,85.08,81,0,0.0,light rain
82,Yaring,TH,6.8662,101.3689,81.03,75,100,7.78,overcast clouds
83,Slave Lake,CA,55.2834,-114.769,66.18,68,100,8.05,overcast clouds
84,Port Alfred,ZA,-33.5906,26.891,59.2,78,0,8.19,clear sky
85,Riyadh,SA,24.6877,46.7219,87.94,15,100,10.69,overcast clouds
86,Lata,PT,40.1629,-8.3327,69.08,72,0,3.83,clear sky
87,Arraial Do Cabo,BR,-22.9661,-42.0278,70.23,86,0,23.96,clear sky
88,Kuching,MY,1.55,110.3333,77.22,94,20,0.0,few clouds
89,Cabo San Lucas,MX,22.8909,-109.9124,97.9,33,0,11.5,clear sky
90,Smithers,CA,54.7804,-127.1743,62.92,82,100,3.44,overcast clouds
91,Avera,US,33.194,-82.5271,82.45,78,12,7.25,few clouds
92,Cherskiy,RU,68.75,161.3,54.88,50,100,5.61,overcast clouds
93,Kaitangata,NZ,-46.2817,169.8464,47.73,66,100,1.79,overcast clouds
94,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,76,52,7.45,broken clouds
95,Saint-Pierre,RE,-21.3393,55.4781,68.92,64,100,5.75,overcast clouds
96,Kodiak,US,57.79,-152.4072,58.51,82,100,8.05,light rain
97,Waipawa,NZ,-41.4122,175.5153,50.79,49,100,2.98,overcast clouds
98,Kalmunai,LK,7.4167,81.8167,81.07,74,100,3.15,overcast clouds
99,Jiuquan,CN,39.7432,98.5174,72.07,24,8,10.42,clear sky
100,Severo-Kurilsk,RU,50.6789,156.125,55.08,68,100,10.07,overcast clouds
101,Kavaratti,IN,10.5669,72.642,81.43,83,100,18.52,light rain
102,Sunndalsora,NO,62.6754,8.5515,50.59,98,100,5.59,overcast clouds
103,Leshukonskoye,RU,64.8989,45.7622,59.61,77,21,4.03,few clouds
104,Vanavara,RU,60.34,102.2797,68.49,55,5,3.83,clear sky
105,Banepa,NP,27.6298,85.5214,70.12,94,75,2.3,broken clouds
106,Hermanus,ZA,-34.4187,19.2345,52.63,73,11,7.99,few clouds
107,Half Moon Bay,US,37.4636,-122.4286,77.59,71,40,20.71,scattered clouds
108,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,68.59,56,75,6.71,broken clouds
109,Vardo,NO,70.3705,31.1107,49.98,87,75,8.05,broken clouds
110,Hualmay,PE,-11.0964,-77.6139,61.79,81,73,5.77,broken clouds
111,Lagoa,PT,39.05,-27.9833,64.96,79,89,11.16,overcast clouds
112,Torbay,CA,47.6666,-52.7314,62.28,80,100,14.97,overcast clouds
113,Bozeman,US,45.6796,-111.0386,85.42,25,0,14.97,clear sky
114,Esperance,AU,-33.8667,121.9,55.38,86,85,13.33,overcast clouds
115,Dubai,AE,25.2582,55.3047,93.49,55,0,10.36,clear sky
116,Lavrentiya,RU,65.5833,-171.0,49.86,84,100,5.64,overcast clouds
117,Hithadhoo,MV,-0.6,73.0833,82.09,76,38,9.51,scattered clouds
118,Xuddur,SO,4.1213,43.8894,71.15,76,100,18.03,overcast clouds
119,Bluff,NZ,-46.6,168.3333,46.8,74,100,4.36,overcast clouds
120,Eston,CA,51.1501,-108.7514,73.92,54,11,12.59,few clouds
121,Catabola,AO,-12.15,17.2833,52.99,49,88,3.74,overcast clouds
122,Darhan,MN,49.4867,105.9228,63.16,77,100,6.38,moderate rain
123,Shimoda,JP,34.6667,138.95,76.1,84,100,7.31,overcast clouds
124,Tiksi,RU,71.6872,128.8694,41.7,74,100,3.96,overcast clouds
125,Port Blair,IN,11.6667,92.75,82.56,80,100,12.62,light rain
126,Bethel,US,41.3712,-73.414,80.47,74,44,4.52,scattered clouds
127,Gazanjyk,TM,39.2446,55.5154,67.8,39,0,3.56,clear sky
128,Oum Hadjer,TD,13.2954,19.6966,85.77,48,46,13.02,scattered clouds
129,Dunedin,NZ,-45.8742,170.5036,48.79,65,100,1.99,overcast clouds
130,La Ronge,CA,55.1001,-105.2842,70.05,40,20,6.91,few clouds
131,Te Anau,NZ,-45.4167,167.7167,40.15,83,100,1.19,overcast clouds
132,Lompoc,US,34.6391,-120.4579,81.01,71,0,18.01,clear sky
133,Kiomboi,TZ,-4.2667,34.3667,57.25,64,7,5.12,clear sky
134,Berdigestyakh,RU,62.0989,126.6992,61.16,85,100,9.66,overcast clouds
135,Clyde River,CA,70.4692,-68.5914,48.43,71,0,3.44,clear sky
136,Novopokrovka,UA,49.8425,36.5477,67.77,44,0,7.61,clear sky
137,Butaritari,KI,3.0707,172.7902,82.54,76,98,21.61,overcast clouds
138,Katsuura,JP,35.1333,140.3,77.02,80,100,14.05,overcast clouds
